disease;term_count
Legg–Calvé–Perthes disease;14
Legionnaires' disease;16
Legius syndrome;1
Leigh disease;18
Leigh syndrome;18
Leiner's disease;12
Leiomyosarcoma;1
Leishmaniasis;7
Lemierre's syndrome;43
Lennox–Gastaut syndrome;22
Lentigo maligna;3
Lentigo maligna melanoma;4
Leprosy;22
Leptospirosis;21
Léri–Weill dyschondrosteosis;2
Lesch–Nyhan syndrome;25
Lethal congenital contracture syndrome;1
Leukemia;32
Leukemoid reaction;5
Leukocoria;3
Leukocyte adhesion deficiency;1
Leukocyte adhesion deficiency-1;2
Leukocytosis;16
Leukodystrophy;2
Leukoencephalopathy with vanishing white matter;21
Leukopenia;13
Leukoplakia;27
Levator ani syndrome;6
Levo-Transposition of the great arteries;5
Leydig cell hypoplasia;7
Leydig cell tumour;16
Lichen nitidus;3
Lichen planus;27
Lichen ruber moniliformis;2
Lichen sclerosus;17
Lichen simplex chronicus;8
Lichen striatus;3
Liddle's syndrome;10
Liebenberg syndrome;2
Ligamentous laxity;13
Light chain deposition disease;12
Limb-girdle muscular dystrophy;11
Limbic encephalitis;19
Limp;5
Linitis plastica;2
Lipid pneumonia;1
Lipid storage disorder;1
Lipodermatosclerosis;10
Lipoid congenital adrenal hyperplasia;13
Lipoma;9
Lipoprotein lipase deficiency;7
Liposarcoma;7
Lisfranc injury;4
Lisp;3
Lissencephaly;10
Listener fatigue;3
Listeriosis;10
Little cherry disease;1
Livedo reticularis;24
Liver abscess;1
Liver cancer;21
Liver disease;5
Liver injury;6
Loa loa filariasis;16
Lobar pneumonia;2
Lobular carcinoma in situ;3
Locked-in syndrome;13
Loeys–Dietz syndrome;12
Logorrhea (psychology);6
Loin pain hematuria syndrome;18
Long QT syndrome;14
Long-chain 3-hydroxyacyl-coenzyme A dehydrogenase deficiency;9
Lordosis;6
Low back pain;34
Lower gastrointestinal bleeding;42
Lower motor neuron lesion;10
Lown–Ganong–Levine syndrome;3
Loxoscelism;7
Lucey–Driscoll syndrome;1
Ludwig's angina;31
Lujan–Fryns syndrome;5
Lumbar spinal stenosis;20
Lung abscess;15
Lung cancer;27
Lupus erythematosus;17
Lupus nephritis;14
Lupus vulgaris;3
Lutembacher's syndrome;19
Luteoma;3
Luxating patella;3
Lyme disease;47
Lymphangiectasia;14
Lymphangioleiomyomatosis;27
Lymphangioma;4
Lymphangiosarcoma;3
Lymphatic filariasis;15
Lymphedema;38
Lymphocele;11
Lymphocytic choriomeningitis;56
Lymphocytic colitis;1
Lymphocytic interstitial pneumonia;6
Lymphocytic pleocytosis;7
Lymphocytopenia;5
Lymphocytosis;8
Lymphogranuloma venereum;21
Lymphoid leucosis;6
Lymphoma;15
Lymphomatoid granulomatosis;1
Lysinuric protein intolerance;9
Lysosomal acid lipase deficiency;23
Lysosomal storage disease;7
Lytico-bodig disease;12
Mach tuck;2
Machado–Joseph disease;20
Macrocephaly;7
Macrocephaly-capillary malformation;9
Macrocytosis;5
Macroglossia;16
Macropsia;34
Macular degeneration;15
Macular edema;3
Macular hole;1
Madarosis;5
Madelung's deformity;1
Maffucci syndrome;1
Magnesium deficiency (medicine);29
Majocchi's disease;14
Major depressive disorder;54
Major depressive episode;28
Major trauma;8
Mal de debarquement;12
Malabsorption;49
Malakoplakia;6
Malaria;42
Male accessory gland infection;3
Male breast cancer;9
Male infertility;21
Malformative syndrome;5
Malignant histiocytosis;9
Malignant hyperthermia;14
Malignant peripheral nerve sheath tumor;10
Malignant pleural effusion;3
Malingering;6
Mallory–Weiss syndrome;12
Malnutrition;45
Malocclusion;9
Malonyl-CoA decarboxylase deficiency;7
Malpuech facial clefting syndrome;4
Malunion;2
Mammary myofibroblastoma;2
Mammary tumor;6
Mandibular fracture;13
Manganism;10
Mange;1
Mansonelliasis;12
Mantle cell lymphoma;5
Maple syrup urine disease;22
Marasmus;16
Marburg virus disease;43
Marchiafava–Bignami disease;12
Marden–Walker syndrome;9
Marfan syndrome;37
Marginal zone B-cell lymphoma;20
Marinesco–Sjögren syndrome;8
Marjolin's ulcer;3
Maroteaux–Lamy syndrome;3
Marshall syndrome;10
Marshall–Smith syndrome;8
Mast cell activation syndrome;37
Mastitis;25
Mastocytoma;12
Mastocytosis;23
Mastoiditis;10
Maternal death;6
Maturity onset diabetes of the young;11
Maxillary hypoplasia;7
May–Thurner syndrome;4
McCune–Albright syndrome;8
McKusick–Kaufman syndrome;3
McLeod syndrome;11
Measles;18
Meatal stenosis;12
Meckel syndrome;3
Meckel's diverticulum;36
Meconium aspiration syndrome;15
Meconium peritonitis;2
Medial medullary syndrome;5
Medial pontine syndrome;3
Median arcuate ligament syndrome;16
Median rhomboid glossitis;7
Mediastinal lymphadenopathy;1
Mediastinal tumor;2
Medical error;6
Medication overuse headache;5
Medication-associated osteonecrosis of the jaw;12
Medication-associated osteonecrosis of the jaw (MRONJ);12
Medium-chain acyl-coenzyme A dehydrogenase deficiency;12
Medullary cystic kidney disease;16
Medullary sponge kidney;9
Medullary thyroid cancer;5
Medulloblastoma;13
Medulloepithelioma;3
Mees' lines;1
Megacolon;13
Megacystis;1
Megaesophagus;2
Megalencephaly;3
Megaloblastic anemia;4
Meige's syndrome;23
Meigs' syndrome;13
Melanocytic nevus;10
Melanoma;16
MELAS syndrome;20
Melasma;3
Melioidosis;17
Melkersson–Rosenthal syndrome;4
Melorheostosis;2
Membranous glomerulonephritis;8
Memory distrust syndrome;3
Mendelson's syndrome;9
Ménétrier's disease;12
Ménière's disease;11
Meningioma;12
Meningism;8
Meningitis;53
Meningococcal disease;16
Meningoencephalitis;9
Meniscal cyst;5
Menkes disease;10
Menopause;37
Mental disorder;13
Mental disorders diagnosed in childhood;6
Meralgia paraesthetica;11
Mercury poisoning;39
Merkel-cell carcinoma;6
MERRF syndrome;25
Mesangial proliferative glomerulonephritis;2
Mesenteric ischemia;25
Mesoblastic nephroma;8
Mesothelioma;28
Metabolic acidosis;34
Metabolic alkalosis;19
Metabolic disorder;11
Metabolic syndrome;29
Metachromatic leukodystrophy;12
Metal fume fever;27
Metanephric adenoma;3
Metaphyseal dysplasia;1
Metastasis;14
Metatarsophalangeal joint sprain;2
Methanol toxicity;13
Methemoglobinemia;16
Methylmalonic acidemia;16
Methylmalonyl-CoA mutase deficiency;10
Metrorrhagia;7
Mevalonate kinase deficiency;4
Micro syndrome;2
Microangiopathic hemolytic anemia;3
Microcephaly;21
Microcytic anemia;5
Microcytosis;1
Micropenis;3
Microphthalmia;4
Micropsia;1
Microscopic colitis;11
Microscopic polyangiitis;12
Microvillous inclusion disease;4
Middle back pain;10
Middle cerebral artery syndrome;1
Middle East respiratory syndrome;15
Migraine;58
Migraine-associated vertigo;21
Mild androgen insensitivity syndrome;9
Mild cognitive impairment;3
Miliaria;6
Miliary tuberculosis;21
Milk allergy;29
Milk fever;1
Milk sickness;14
Milk-alkali syndrome;8
Millard–Gubler syndrome;7
Miller syndrome;4
Miller–Dieker syndrome;6
Milroy's disease;1
Milwaukee shoulder syndrome;7
Minimal change disease;8
Minor depressive disorder;13
Miosis;5
Mirizzi's syndrome;6
Mirror syndrome;7
Miscarriage;12
Mitochondrial disease;23
Mitochondrial DNA depletion syndrome;41
Mitochondrial myopathy;9
Mitochondrial neurogastrointestinal encephalopathy syndrome;14
Mitochondrial trifunctional protein deficiency;7
Mitral insufficiency;27
Mitral valve prolapse;13
Mitral valve stenosis;27
Mittelschmerz;9
Mixed connective tissue disease;7
Möbius syndrome;7
Molar pregnancy;6
Mollaret's meningitis;20
Molluscum contagiosum;4
Molybdenum cofactor deficiency;3
MOMO syndrome;3
Monckeberg's arteriosclerosis;9
Mongolian spot;6
Monkeypox;7
Monoarthritis;8
Monoclonal gammopathy of undetermined significance;9
Monocytosis;9
MonoMAC;3
Monoplegia;28
Monorchism;1
Monteggia fracture;2
Mood disorder;8
Morgagni Stewart Morel syndrome;2
Morning sickness;3
Morphea;7
Morquio syndrome;12
Morsicatio buccarum;7
Morton's neuroma;6
Morvan's syndrome;49
Mosquito-borne disease;6
Motion sickness;5
Motion-induced blindness;5
Motor disorder;6
Mouth ulcer;14
Movement disorders;1
Mowat–Wilson syndrome;5
Mucinous tubular and spindle cell carcinoma;2
Muckle–Wells syndrome;4
Mucolipidosis type IV;5
Mucopolysaccharidosis;45
Mucormycosis;11
Mucositis;11
Muenke syndrome;10
Müllerian agenesis;3
Multicystic dysplastic kidney;3
Multifocal atrial tachycardia;5
Multifocal motor neuropathy;12
Multiple chemical sensitivity;45
Multiple endocrine neoplasia type 1;15
Multiple endocrine neoplasia type 2;5
Multiple endocrine neoplasia type 2b;8
Multiple epiphyseal dysplasia;8
Multiple evanescent white dot syndrome;10
Multiple myeloma;34
Multiple organ dysfunction syndrome;15
Multiple sclerosis;23
Multiple sulfatase deficiency;4
Multiple system atrophy;30
Mumps;19
Murine typhus;10
Muscle atrophy;9
Muscle dysmorphia;3
Muscle weakness;6
Muscular dystrophy;20
Musculoskeletal disorder;11
Mushroom poisoning;9
Myalgia;21
Myasthenia gravis;20
Mycobacterium avium-intracellulare infection;18
Mycoplasma hominis infection;6
Mycoplasma pneumonia;4
Mycosis;1
Mycosis fungoides;9
Myelitis;24
Myelodysplastic syndrome;35
Myelofibrosis;16
Myeloid sarcoma;3
Myelolipoma;1
Myelopathy;15
Myeloperoxidase deficiency;1
Myelophthisic anemia;3
Myeloproliferative neoplasm;2
Myhre syndrome;7
Myiasis;21
Myocardial infarction;46
Myocardial rupture;6
Myocardiodystrophy;3
Myocarditis;30
Myoclonic astatic epilepsy;9
Myoclonic dystonia;12
Myoclonic epilepsy;5
Myoclonus;13
Myofascial pain syndrome;11
Myoglobinuria;8
Myokymia;3
Myopathy;4
Myositis ossificans;5
Myotonia;2
Myotonia congenita;15
Myotonic dystrophy;11
Myxedema;10
Myxoma;9
Nabothian cyst;2
Naegleriasis;17
Nail biting;5
Nail–patella syndrome;6
Narcissistic personality disorder;15
Narcolepsy;30
Nasal congestion;6
Nasal fracture;8
Nasal polyp;16
Nasal septum deviation;14
Nasal septum perforation;5
Nasodigitoacoustic syndrome;2
Nasolacrimal duct obstruction;7
Nasopharyngeal angiofibroma;12
Nasopharynx cancer;10
Nausea;39
Near-sightedness;9
Necatoriasis;23
Necrobiosis lipoidica;6
Necrolytic migratory erythema;8
Necrotizing enterocolitis;12
Necrotizing fasciitis;29
Necrotizing sialometaplasia;8
Necrotizing vasculitis;8
Needlestick injury;2
Nelson's syndrome;9
Nemaline myopathy;14
Neonatal alloimmune thrombocytopenia;4
Neonatal conjunctivitis;8
Neonatal encephalopathy;7
Neonatal hemochromatosis;1
Neonatal hepatitis;18
Neonatal herpes simplex;9
Neonatal infection;45
Neonatal jaundice;19
Neonatal meningitis;7
Neonatal sepsis;14
Neonatal withdrawal;27
Neonatal-onset multisystem inflammatory disease;33
Neoplasm;8
Nephritic syndrome;15
Nephritis;8
Nephrocalcinosis;18
Nephrogenic diabetes insipidus;9
Nephrogenic systemic fibrosis;4
Nephronophthisis;5
Nephroptosis;11
Nephrotic syndrome;54
Nerve compression syndrome;18
Nervous system disease;3
Netherton syndrome;5
Neu-Laxova syndrome;9
Neural tube defect;4
Neuralgia;10
Neurapraxia;9
Neurasthenia;9
Neuroblastoma;19
Neuroborreliosis;10
Neuroendocrine tumor;35
Neuroferritinopathy;10
Neurofibroma;2
Neurofibromatosis;10
Neurofibromatosis type I;37
Neurogenic bladder dysfunction;10
Neurogenic shock;12
Neuroinflammation;1
Neuroleptic malignant syndrome;14
Neuromuscular disease;9
Neuromuscular junction disease;1
Neuromyelitis optica;15
Neuromyotonia;22
Neuronal ceroid lipofuscinosis;8
Neuropathic arthropathy;11
Neuropathic pain;6
Neuropathy, ataxia, and retinitis pigmentosa;4
Neurosarcoidosis;37
Neutropenia;16
Neutropenic enterocolitis;9
Neutrophil-specific granule deficiency;8
Neutrophilia;4
Neutrophilic eccrine hidradenitis;10
Nevoid basal-cell carcinoma syndrome;5
Nevus;7
Nevus anemicus;6
Nevus flammeus nuchae;1
New daily persistent headache;13
Nezelof syndrome;3
Nicolaides–Baraitser syndrome;6
Nicotine dependence;3
Nicotine poisoning;30
Nicotine withdrawal;18
Niemann–Pick disease, SMPD1-associated;4
Niemann–Pick disease, type C;25
Night eating syndrome;2
Night terror;25
Nightmare;2
Nightmare disorder;6
Nipple adenoma;8
Nipple discharge;9
Nitrogen narcosis;21
Nocardiosis;16
Nocturnal enuresis;32
Nocturnal sleep-related eating disorder;4
Nodding disease;8
Nodular lymphocyte predominant Hodgkin's lymphoma;1
Noma (disease);5
Non-24-hour sleep–wake disorder;4
Non-alcoholic fatty liver disease;33
Non-celiac gluten sensitivity;34
Non-cirrhotic portal fibrosis;3
Non-gonococcal urethritis;13
Non-Hodgkin lymphoma;12
Non-small-cell lung carcinoma;25
Nonbacterial thrombotic endocarditis;3
Noncompaction cardiomyopathy;12
Nonunion;9
Nonvenereal endemic syphilis;3
Noonan syndrome;3
Noonan syndrome with multiple lentigines;16
Normal pressure hydrocephalus;27
Normal tension glaucoma;3
Norrie disease;2
Northeast blackout of 1965;1
Northern epilepsy syndrome;2
Nosebleed;14
Notalgia paresthetica;1
Nuchal cord;3
Nummular dermatitis;4
Nutcracker esophagus;10
Nystagmus;19
Obesity;14
Obesity hypoventilation syndrome;25
Obsessive–compulsive disorder;19
Obsessive–compulsive personality disorder;26
Obstetric fistula;20
Obstructed labour;1
Obstructive lung disease;8
Obstructive sleep apnea;39
Obstructive uropathy;6
Occipital horn syndrome;2
Occipital neuralgia;13
Occupational asthma;12
Occupational burnout;5
Occupational stress;5
Ochronosis;7
Ocular albinism type 1;7
Ocular ischemic syndrome;1
Ocular myasthenia;7
Oculocerebrorenal syndrome;3
Oculodentodigital dysplasia;4
Oculogyric crisis;1
Oculomotor apraxia;5
Oculomotor nerve palsy;9
Oculopharyngeal muscular dystrophy;4
Ogden syndrome;10
Ogilvie syndrome;5
Oguchi disease;3
Ohtahara syndrome;1
Olecranon bursitis;5
Olfactory reference syndrome;33
Oligodendroglioma;14
Oligohydramnios;3
Oligomenorrhea;7
Oligospermia;8
Olivopontocerebellar atrophy;10
Omenn syndrome;5
Omental infarction;2
Omphalitis of newborn;13
Omphalocele;2
Omsk hemorrhagic fever;16
Onchocerciasis;30
Oncogenic osteomalacia;8
Onychogryphosis;1
Onycholysis;8
Onychomycosis;10
Ophthalmodynia periodica;3
Ophthalmoparesis;6
Opioid overdose;8
Opioid use disorder;38
Opisthorchiasis;12
Opitz G/BBB syndrome;9
Opportunistic infection;8
Opsoclonus myoclonus syndrome;14
Optic nerve hypoplasia;25
Optic neuritis;26
Optic neuropathy;48
Oral cancer;24
Oral candidiasis;32
Oral mucocele;8
Oral submucous fibrosis;12
Orbital cellulitis;13
Orbital lymphoma;4
Orchitis;7
Organic brain syndrome;13
Organophosphate poisoning;43
Ornithine transcarbamylase deficiency;12
Orofacial granulomatosis;26
Orofacial myological disorders;4
Orofaciodigital syndrome 1;4
Oropharyngeal cancer;8
Oropouche fever;15
Orotic aciduria;1
Orthohantavirus;8
Orthostatic headache;5
Orthostatic hypertension;2
Orthostatic hypotension;26
Orthostatic intolerance;20
Osgood–Schlatter disease;4
Osmol gap;1
Osteitis fibrosa cystica;25
Osteitis pubis;13
Osteoarthritis;17
Osteoblastoma;8
Osteochondritis dissecans;18
Osteochondroma;19
Osteochondrosis;2
Osteogenesis imperfecta;5
Osteoid osteoma;9
Osteomalacia;19
Osteomyelitis;14
Osteonecrosis of the jaw;14
Osteopenia;6
Osteopetrosis;21
Osteophyte;2
Osteoporosis;24
Osteoporotic bone marrow defect;2
Osteosarcoma;11
Ostium primum atrial septal defect;4
Otic polyp;4
Otitis externa;15
Otitis externa in animals;4
Otitis media;24
Otodental syndrome;12
Otomycosis;1
Otosclerosis;10
Otospondylomegaepiphyseal dysplasia;4
Ototoxicity;8
Ovarian apoplexy;18
Ovarian cancer;53
Ovarian cyst;25
Ovarian fibroma;2
Ovarian hyperstimulation syndrome;11
Ovarian pregnancy;8
Ovarian remnant syndrome;5
Ovarian torsion;4
Ovarian vein syndrome;7
Overactive bladder;18
Overflow incontinence;4
Overjet;4
Overweight;9
Ovine rinderpest;16
Oxycephaly;2
Oxygen toxicity;40
Pacemaker failure;3
Pachygyria;18
Pachyonychia congenita;14
Paget's disease of bone;16
Paget's disease of the breast;10
Paget–Schroetter disease;4
Pain disorder;6
Palindromic rheumatism;5
Palisaded encapsulated neuroma;1
Pallister–Hall syndrome;2
Pallister–Killian syndrome;2
Palmar erythema;7
Palpable purpura;1
Palpitations;36
Panayiotopoulos syndrome;57
Pancoast tumor;17
Pancreas divisum;7
Pancreatic abscess;12
Pancreatic acinar metaplasia;1
Pancreatic cancer;32
Pancreatic fistula;1
Pancreatic injury;11
Pancreatic mucinous cystic neoplasm;1
Pancreatic neuroendocrine tumor;14
Pancreatic pseudocyst;4
Pancreatitis;33
Pancreatoblastoma;2
Pancytopenia;6
PANDAS;7
Panic attack;39
Panic disorder;32
Panniculitis;22
Pantothenate kinase-associated neurodegeneration;23
PAPA syndrome;5
Papillary fibroelastoma;4
Papillary thyroid cancer;8
Papillary urothelial neoplasm of low malignant potential;4
Papilledema;15
Papillon–Lefèvre syndrome;3
Papillorenal syndrome;10
Pappataci fever;9
Paracetamol poisoning;21
Paracoccidioidomycosis;1
Paraganglioma;1
Paralysis;8
Paramyotonia congenita;4
Paraneoplastic pemphigus;7
Paraneoplastic syndrome;31
Paranoia;13
Paranoid personality disorder;10
Paranoid schizophrenia;5
Paraovarian cyst;6
Paraphilia;5
Paraphimosis;3
Paraphrenia;11
Paraproteinemia;3
Parasitic disease;16
Parathyroid adenoma;10
Paratuberculosis;9
Paratyphoid fever;26
Paresthesia;42
Parinaud's syndrome;15
Parkes Weber syndrome;20
Parkinson plus syndrome;7
Parkinson's disease;50
Parkinsonism;8
Paronychia;11
Parotitis;34
Paroxysmal cold hemoglobinuria;3
Paroxysmal extreme pain disorder;8
Paroxysmal nocturnal hemoglobinuria;18
Paroxysmal nonkinesigenic dyskinesia;5
Paroxysmal supraventricular tachycardia;4
Paroxysmal sympathetic hyperactivity;17
Parry–Romberg syndrome;24
Parsonage–Turner syndrome;8
Partial androgen insensitivity syndrome;12
PASLI disease;3
Patau syndrome;8
Patella fracture;1
Patellar dislocation;1
Patellar tendinitis;6
Patellar tendon rupture;2
Patellofemoral pain syndrome;7
Patent ductus arteriosus;10
Pathologic fracture;6
Pathological jealousy;7
Pattern hair loss;7
Patterson syndrome;5
Patulous Eustachian tube;6
Peach scab;3
Peanut allergy;18
Pearson syndrome;1
Pectus carinatum;9
Pectus excavatum;7
Pediatric acute-onset neuropsychiatric syndrome;4
Pediatric acute-onset neuropsychiatric syndrome (PANS);58
Pediculosis;1
Pediculosis corporis;1
Pediculosis pubis;3
Pedophilia;16
Pelizaeus–Merzbacher disease;14
Pellagra;21
Pellucid marginal degeneration;3
Pelvic floor dysfunction;5
Pelvic fracture;1
Pelvic pain;16
Pemphigus;5
Pemphigus foliaceus;1
Pemphigus vulgaris;13
Pendred syndrome;9
Penetrating atherosclerotic ulcer;2
Penile agenesis and testicular agenesis;2
Penile cancer;5
Penile fracture;4
Pentalogy of Cantrell;3
Peptic ulcer disease;41
Perforated eardrum;4
Perianal hematoma;2
Periapical cyst;10
Pericardial effusion;15
Pericarditis;32
Pericoronitis;21
Perinatal asphyxia;4
Periodic fever, aphthous stomatitis, pharyngitis and adenitis;6
Periodic limb movement disorder;9
Periodic paralysis;11
Periodontal abscess;13
Periodontal disease;20
Periodontitis;18
Perioral dermatitis;13
Periorbital cellulitis;7
Periorbital puffiness;17
Periostitis;1
Peripartum cardiomyopathy;16
Peripheral artery disease;18
Peripheral neuropathy;37
Peripheral ossifying fibroma;2
Peritoneal mesothelioma;8
Peritonitis;41
Peritonsillar abscess;15
Perivascular epithelioid cell tumour;1
Periventricular leukomalacia;22
Perlman syndrome;8
Peronospora hyoscyami f.sp. tabacina;4
Persistent hyperplastic primary vitreous;5
Persistent left superior vena cava;3
Persistent Müllerian duct syndrome;8
Persistent thyroglossal duct;9
Persistent truncus arteriosus;8
Persistent vegetative state;34
Pertussis;9
Pervasive developmental disorder;5
Pervasive developmental disorder not otherwise specified;4
Pes cavus;20
Pestalotiopsis palmarum;2
Pesticide poisoning;2
Peutz–Jeghers syndrome;3
Peyronie's disease;6
Pfeiffer syndrome;6
PHACES Syndrome;4
Phantom eye syndrome;4
Phantom limb;4
Phantom vibration syndrome;2
Pharyngitis;18
Phenylketonuria;13
Pheochromocytoma;25
Phimosis;4
Phlebitis;9
Phlegmasia alba dolens;8
Phobia;6
Phocomelia;19
Phosphene;9
Phosphofructokinase deficiency;22
Photic retinopathy;9
Photic sneeze reflex;2
Photodermatitis;8
Photokeratitis;5
Photophobia;24
Phyllodes tumor;1
Phytophotodermatitis;3
Piblokto;6
Pica (disorder);8
Pick's disease;10
Pierre Robin syndrome;4
Pigmented villonodular synovitis;3
Pilocytic astrocytoma;15
Pilomatricoma;1
Pilonidal disease;9
Pimple;6
Pinealoma;7
Pineocytoma;1
Pinguecula;2
Pinta (disease);5
Pinworm infection;19
Piriformis syndrome;9
Pitted keratolysis;7
Pitt–Hopkins syndrome;21
Pituitary adenoma;41
Pituitary apoplexy;32
Pituitary pars intermedia dysfunction;6
Pityriasis alba;7
Pityriasis amiantacea;3
Pityriasis lichenoides chronica;2
Pityriasis lichenoides et varioliformis acuta;2
Pityriasis rosea;15
Placenta accreta;2
Placenta praevia;8
Placental abruption;18
Placental disease;9
Placental insufficiency;5
Plague (disease);15
Plantar fasciitis;24
Plantar fibromatosis;2
Plantar wart;4
Plasma cell gingivitis;13
Plasma cell leukemia;9
Plasmacytoma;14
Platelet storage pool deficiency;2
Pleomorphic adenoma;2
Pleomorphic xanthoastrocytoma;6
Pleural effusion;19
Pleural empyema;9
Pleurisy;30
Pleurothotonus;13
Plica syndrome;2
Plummer–Vinson syndrome;12
Pneumaturia;2
Pneumococcal infection;1
Pneumocystis pneumonia;11
Pneumomediastinum;6
Pneumonitis;2
Pneumopericardium;12
Pneumoperitoneum;3
Pneumothorax;22
POEMS syndrome;44
Poikiloderma;1
Poikiloderma vasculare atrophicans;9
Poland syndrome;4
Poliomyelitis;26
Polyarteritis nodosa;38
Polyarthritis;2
Polychromasia;4
Polycystic kidney disease;10
Polycystic ovary syndrome;27
Polycythemia vera;21
Polyhydramnios;8
Polymicrogyria;9
Polymorphous light eruption;28
Polymyalgia rheumatica;20
Polymyositis;20
Polyneuropathy;16
Polyuria;15
Poor ovarian reserve;6
Porcelain gallbladder;6
Porencephaly;28
Porphyria;43
Porphyria cutanea tarda;10
Port-wine stain;7
Portal hypertension;18
Portal hypertensive gastropathy;3
Post herniorraphy pain syndrome;4
Post-concussion syndrome;37
Post-dural-puncture headache;2
Post-Ebola virus syndrome;16
Post-nasal drip;7
Post-polio syndrome;12
Post-transplant lymphoproliferative disorder;2
Post-traumatic epilepsy;9
Postcholecystectomy syndrome;7
Posterior reversible encephalopathy syndrome;9
Posterior urethral valve;4
Posterior vitreous detachment;6
Postherpetic neuralgia;9
Postoperative fever;6
Postoperative nausea and vomiting;7
Postorgasmic illness syndrome;21
Postpartum bleeding;10
Postpartum depression;38
Postpartum infections;13
Postpartum psychosis;11
Postpartum thyroiditis;13
Postpericardiotomy syndrome;19
Postterm pregnancy;3
Posttraumatic stress disorder;11
Postural orthostatic tachycardia syndrome;33
Potomac Horse Fever;6
Pott disease;6
Potter sequence;4
Pouchitis;8
Powassan encephalitis;5
Prader–Willi syndrome;34
Pre-eclampsia;33
Preauricular sinus and cyst;2
Precancerous condition;7
Precocious puberty;13
Precordial catch syndrome;5
Prediabetes;21
Pregnancy;29
Premature atrial contraction;3
Premature ejaculation;5
Premature ovarian failure;12
Premature rupture of membranes;5
Premature thelarche;2
Premature ventricular contraction;25
Premenstrual dysphoric disorder;24
Premenstrual syndrome;27
Prepatellar bursitis;19
Presbycusis;14
Presbylarynx;1
Presbyopia;4
Pressure ulcer;26
Presumed ocular histoplasmosis syndrome;4
Preterm birth;17
Pretibial myxedema;8
Pretzel syndrome;9
Priapism;6
Primary aldosteronism;10
Primary biliary cholangitis;21
Primary central nervous system lymphoma;16
Primary ciliary dyskinesia;9
Primary effusion lymphoma;2
Primary hyperparathyroidism;33
Primary hypertrophic osteoathropathy;17
Primary immunodeficiency;4
Primary lateral sclerosis;1
Primary progressive aphasia;5
Primary sclerosing cholangitis;22
Priming (steam locomotive);1
Primrose syndrome;8
Prinzmetal's angina;15
Proctalgia fugax;6
Proctitis;29
Proctocolitis;2
Progeria;7
Prognathism;2
Progressive bulbar palsy;9
Progressive familial intrahepatic cholestasis;5
Progressive inflammatory neuropathy;10
Progressive multifocal leukoencephalopathy;7
Progressive muscular atrophy;6
Progressive myoclonus epilepsy;7
Progressive supranuclear palsy;7
Progressive transformation of germinal centres;3
Prolactinoma;12
Prolidase deficiency;2
Pronator teres syndrome;5
Propionic acidemia;7
Prosector's wart;7
Prosopagnosia;10
Prostate cancer;20
Protein losing enteropathy;8
Protein S deficiency;6
Proteus syndrome;8
Prothrombin G20210A;6
Protrusio acetabuli;2
Proventricular dilatation disease;1
Proximal 18q-;2
Proximal diabetic neuropathy;9
Proximal femoral focal deficiency;1
Prune belly syndrome;11
Prurigo nodularis;13
Pruritic urticarial papules and plaques of pregnancy;2
Pruritus ani;14
Pseudo-Cushing's syndrome;2
Pseudo-Hurler polydystrophy;3
Pseudoaneurysm;7
Pseudoangiomatous stromal hyperplasia;1
Pseudobulbar palsy;10
Pseudoexfoliation syndrome;5
Pseudofolliculitis barbae;6
Pseudohyperaldosteronism;1
Pseudohypoparathyroidism;12
Pseudolymphoma;3
Pseudomyxoma peritonei;7
Pseudoporphyria;5
Pseudopseudohypoparathyroidism;3
Pseudovaginal perineoscrotal hypospadias;1
Pseudoxanthoma elasticum;10
Psittacosis;27
Psoriasis;28
Psoriatic arthritis;22
Psoriatic onychodystrophy;3
Psychasthenia;6
Psychogenic amnesia;13
Psychogenic non-epileptic seizure;20
Psychological trauma;12
Psychomotor agitation;17
Psychomotor retardation;4
Psychoorganic syndrome;16
Psychopathy;17
Psychosis;63
Pterygium (conjunctiva);6
Ptosis (breasts);7
Ptosis (eyelid);13
Pulled elbow;2
Pulmonary alveolar proteinosis;6
Pulmonary atresia;3
Pulmonary consolidation;2
Pulmonary contusion;23
Pulmonary edema;19
Pulmonary embolism;39
Pulmonary fibrosis;14
Pulmonary heart disease;11
Pulmonary hemorrhage;2
Pulmonary hypertension;38
Pulmonary hypoplasia;7
Pulmonary insufficiency;6
Pulmonary interstitial emphysema;2
Pulmonary laceration;4
Pulmonary sequestration;11
Pulmonary valve stenosis;6
Pulmonary venoocclusive disease;9
Pulmonary-renal syndrome;7
Pulpitis;6
Pulseless electrical activity;15
Pulsus bigeminus;4
Pulsus paradoxus;7
Pure autonomic failure;8
Pure red cell aplasia;4
Purine nucleoside phosphorylase deficiency;8
Purpura fulminans;13
Purtscher's retinopathy;4
Pyaemia;3
Pycnodysostosis;2
Pyelonephritis;33
Pyloric stenosis;16
Pyoderma gangrenosum;12
Pyogenic granuloma;7
Pyogenic liver abscess;10
Pyometra;6
Pyomyositis;1
Pyonephrosis;2
Pyotraumatic dermatitis;4
Pyromania;1
Pyruvate carboxylase deficiency;9
Pyruvate dehydrogenase deficiency;14
Pyruvate kinase deficiency;10
Q fever;21
Quadriceps tendon rupture;4
Quadricuspid aortic valve;9
Quebec platelet disorder;2
Rabies;24
Rabson–Mendenhall syndrome;19
Rachischisis;2
Radial neuropathy;3
Radial tunnel syndrome;9
Radiation burn;15
Radiation enteropathy;15
Radiation retinopathy;3
Radiculopathy;15
Rainscald;4
