cui;medical_term;semantic_types
C0405583;Calcium deposits in tendon;dsyn
C0405584;Sucrose intolerance;sosy
C0406096;Non-bullous impetigo;dsyn
C0406097;Streptococcal impetigo;dsyn
C0406101;Gram-negative folliculitis;dsyn
C0406143;Cutaneous listeriosis;dsyn
C0406146;Meningococcal rash;sosy
C0406191;Pseudofolliculitis;dsyn
C0406217;Actinic prurigo;dsyn
C0406247;Hyperkeratotic fissured hand eczema;dsyn
C0406305;Eosinophilic pustular folliculitis;dsyn
C0406312;Pityriasis folliculorum;dsyn
C0406317;Chronic small plaque psoriasis;dsyn
C0406318;Unstable psoriasis;dsyn
C0406322;Psoriasis of nail;dsyn
C0406326;Scalp psoriasis;dsyn
C0406327;Psoriasiform napkin eruption;dsyn
C0406351;Malignant acanthosis nigricans;anab,dsyn
C0406352;Acanthosis palmaris;anab,dsyn
C0406365;Actinic lichen planus;dsyn
C0406368;Lichen planus-lupus erythematosus overlap;dsyn
C0406369;Lichen planus pemphigoides;dsyn
C0406374;Lichen planus of nail;dsyn
C0406378;Erosive oral lichen planus;dsyn
C0406383;Genital lichen planus;dsyn
C0406409;Aquagenic pruritus;dsyn
C0406421;Pigmentary incontinence;dsyn
C0406446;Damaged nail;fndg
C0406461;Involutional alopecia;dsyn
C0406463;Tufted folliculitis;dsyn
C0406484;Sebaceous hyperplasia;dsyn
C0406486;Ocular rosacea;dsyn
C0406500;Lipodermatosclerosis;dsyn
C0406505;Solar telangiectasia;dsyn
C0406507;Idiopathic livedo reticularis;dsyn
C0406537;Maculopapular drug eruption;dsyn
C0406557;Kindler syndrome;cgab,dsyn
C0406559;Degos-Touraine syndrome;dsyn
C0406587;Wrinkly skin syndrome;dsyn
C0406594;Cytophagic histiocytic panniculitis;dsyn
C0406595;Factitial panniculitis;dsyn
C0406601;Traumatic fat necrosis;dsyn
C0406628;Plasma cell vulvitis;dsyn
C0406629;Disorder of scalp;dsyn
C0406636;Lupus erythematosus tumidus;dsyn
C0406645;Amyopathic dermatomyositis;dsyn
C0406650;IgA - Linear immunoglobulin A bullous dermatosis;dsyn
C0406659;Cutaneous focal mucinosis;dsyn
C0406660;Acral persistent papular mucinosis;dsyn
C0406670;Vulvodynia;dsyn
C0406698;Drug-induced pigmentation;dsyn
C0406704;Ectrodactyly-ectodermal dysplasia-clefting syndrome;cgab,dsyn
C0406709;Hay-Wells syndrome;cgab
C0406723;Odontotrichomelic syndrome;cgab,dsyn
C0406757;Hereditary palmoplantar keratoderma;cgab,dsyn
C0406773;Racial pigmentation;fndg
C0406775;Symmetrical dyschromatosis of extremities;cgab,dsyn
C0406778;Dermatopathia pigmentosa reticularis;cgab,dsyn
C0406810;Atrial myxoma with lentigines;dsyn
C0406838;Mature scar;fndg
C0406842;Pigmented scar;fndg
C0407617;Biopsy of lesion of bone;diap
C0407698;Orthodontic cephalogram;diap
C0409208;Arthritis of hand;dsyn
C0409326;Anterior knee pain;sosy
C0409580;Reactive arthropathy, unspecified;dsyn
C0409637;Rheumatoid arthritis of knee;dsyn
C0409651;Seropositive rheumatoid arthritis;dsyn
C0409676;Juvenile spondyloarthropathy;dsyn
C0409679;Seronegative arthritis;dsyn
C0409818;Neonatal onset multisystem inflammatory disease;dsyn
C0409910;Gout secondary to drug;dsyn
C0409911;Gout secondary to lead;dsyn
C0409952;Idiopathic osteoarthritis;dsyn
C0409955;Osteoarthritis of wrist;dsyn
C0409959;Knee osteoarthritis NOS;dsyn
C0409974;Lupus erythematosus NOS;dsyn
C0409979;Neonatal lupus erythematosus;dsyn
C0409980;Primary antiphospholipid syndrome;dsyn
C0409999;Undifferentiated connective tissue disease;dsyn
C0410000;Overlap syndrome;dsyn
C0410013;Soft tissue lesion;patf
C0410083;Instability of symphysis pubis;patf
C0410088;Semimembranosus tendinitis;dsyn
C0410092;Semimembranosus bursitis;dsyn
C0410130;Postcalcaneal bursitis;dsyn
C0410139;Tenosynovitis of fingers;dsyn
C0410173;Severe autosomal recessive muscular dystrophy of childhood - North African type (disorder);dsyn
C0410174;Fukuyama muscular dystrophy;dsyn
C0410179;Congenita hypotonic - sclerotic muscular dystrophy;dsyn
C0410189;Emery-Dreifuss muscular dystrophy;dsyn
C0410190;Benign scapuloperoneal muscular dystrophy with cardiomyopathy;dsyn
C0410198;Proximal myopathy;dsyn
C0410203;X-linked centronuclear myopathy;cgab
C0410284;Non-traumatic rhabdomyolysis;patf
C0410422;Chronic multifocal osteomyelitis;dsyn
C0410529;Hypochondroplasia (disorder);cgab
C0410530;Metachondromatosis;dsyn
C0410536;Mesomelic dysplasia;dsyn
C0410538;Pseudoachondroplasia;cgab,dsyn
C0410550;Collapse of vertebra;dsyn
C0410632;Schmorl's nodes;dsyn
C0410647;Spinal claudication;dsyn
C0410648;Spinal instability;dsyn
C0410785;Limb length discrepancy;fndg
C0410787;Connective tissue hereditary disorder;dsyn
C0410808;Prosthetic joint infection;dsyn
C0410916;Neonatal death;fndg
C0410918;Fetal tachycardia;sosy
C0410919;Fetal bradycardia;sosy
C0410933;Congenital cardiac failure;dsyn
C0410935;Wide cranial sutures;fndg
C0410959;Fetal acidosis;dsyn
C0411910;Scaphoid X-ray;diap
C0411916;Radiography for bone age studies (procedure);diap
C0411971;Diagnostic radiography of soft tissues;diap
C0412103;Barium meal;diap
C0412110;Hypotonic duodenography;diap
C0412112;Small bowel series;diap
C0412113;Barium follow through;diap
C0412163;Cavernosometry;diap
C0412173;Double contrast arthrography;diap
C0412219;Left ventriculogram;diap
C0412236;Cerebral venography;diap
C0412375;Radioisotope scan of lymphatic system;diap
C0412412;Renal scan and radioisotope function study;diap
C0412482;Vitamin B12 absorption;lbtr
C0412512;Ultrasound study of eye;diap
C0412514;Corneal pachymetry;diap
C0412516;Orbital B scan;diap
C0412530;Intravascular US scan;diap
C0412534;Ultrasonography of liver;diap
C0412555;Ultrasound scan - obstetric;diap
C0412564;Fetal echocardiography;diap
C0412585;Computerized axial tomography of brain;diap
C0412591;CT cisternography;diap
C0412604;CT of neck;diap
C0412618;Cardiac CT;diap
C0412620;CT of abdomen;diap
C0412621;CT of liver;diap
C0412661;CT myelogram;diap
C0412669;Computerized tomography, bone density study;diap
C0412674;MRI of head;diap
C0412675;MRI of brain;diap
C0412692;Cardiac MRI;diap
C0412693;Magnetic resonance imaging of abdomen;diap
C0412694;MRI of liver;diap
C0412714;MRI of knee;diap
C0412771;Spontaneous respiration;fndg
C0413234;Acute allergic reaction;dsyn
C0413235;Idiopathic anaphylaxis;dsyn
C0413318;Domestic abuse;mobd
C0417747;Bite of sandfly;fndg
C0418624;Nonadministration of necessary drug or medicine;fndg
C0419350;Fetal blood sampling;diap
C0419358;Exploration with a probe;diap
C0419360;Slit lamp biomicroscopy (procedure);diap
C0419367;Home birth;fndg
C0419373;Livebirth;fndg
C0419385;Baby female;fndg
C0419415;Birth length;fndg
C0419431;Maternal alcohol abuse;fndg
C0419438;One of twins;fndg
C0420210;Medication given;fndg
C0420338;Follow-up 1 year;fndg
C0420607;Examination categorized by action status;fndg
C0420637;General pathology;fndg
C0421248;Diabetic on insulin;fndg
C0422392;Screening method NOS;inpr
C0422837;Neurological observations;fndg
C0422855;Vertiginous seizure;dsyn
C0422872;Absence seizure with atonic components;patf
C0422879;CNS symptom;sosy
C0422881;Hand preference;fndg
C0422895;Primitive reflex;fndg
C0422912;Bulbocavernosus reflex;fndg
C0422917;Bilateral extensor plantar response;fndg
C0422926;Straight leg raise test response;fndg
C0422943;Visual symptoms;sosy
C0422955;Lazy eye;dsyn
C0422980;Movement of visual image - finding;fndg
C0422985;Binocular diplopia;fndg
C0423000;Visual neglect;fndg
C0423006;Discharge from eye;sosy
C0423009;Blood in eye;fndg
C0423061;Intermittent convergent squint;dsyn
C0423062;Intermittent divergent squint;dsyn
C0423069;Manifest paralytic strabismus;fndg
C0423074;Incomitant heterophoria;dsyn
C0423083;Hypermetric saccades;fndg
C0423084;Pursuit eye movement;fndg
C0423086;Staring;dsyn
C0423091;Irregular eye movements;fndg
C0423092;Superior oblique myokymia;dsyn
C0423109;Upward slant of palpebral fissure;fndg
C0423110;Downward slant of palpebral fissure;fndg
C0423113;Telecanthus;cgab
C0423124;Excess skin of eyelid;fndg
C0423128;Sunsetting eyes;sosy
C0423131;Has drooping eyelids;fndg
C0423153;Lacrimation;fndg
C0423157;Tear drainage;fndg
C0423178;Bitot's spots;sosy
C0423198;Limbal follicles;fndg
C0423216;Globe finding;fndg
C0423221;Globe of eye large;fndg
C0423224;Sunken eyes;fndg
C0423232;Corneal epithelial staining pattern;fndg
C0423234;Punctate keratopathy;fndg
C0423258;Tears in Descemet's membrane;fndg
C0423271;Scleral injection;fndg
C0423276;Shallow anterior chamber of eye;fndg
C0423281;Anterior chamber flare;fndg
C0423285;Keratic precipitates;fndg
C0423300;Pupil reaction;fndg
C0423319;Atrophic iris;dsyn
C0423344;Posterior subcapsular lens opacities;fndg
C0423361;Posterior vitreous detachment;dsyn
C0423385;Retinal arteries copperwire;fndg
C0423386;Retinal arteries silverwire;sosy
C0423400;Retinal vascular anomaly;fndg
C0423410;Retinal lipid deposits;fndg
C0423414;Retinal flecking;fndg
C0423431;Subretinal exudate;fndg
C0423471;Optic cup/disc ratio;fndg
C0423490;Wax in ear canal;fndg
C0423539;Finding of ability to hear voice;fndg
C0423551;Sensory symptoms;fndg
C0423557;Discrimination between sharp and blunt;fndg
C0423571;Abnormal sensation;sosy
C0423572;Pins and needles;sosy
C0423575;Altered sensation of skin;sosy
C0423580;Sensitive to touch;fndg
C0423602;Foreign body sensation;fndg
C0423618;Throbbing headache;sosy
C0423623;Bilateral headache;sosy
C0423628;Painful teething;sosy
C0423634;Central chest pain;sosy
C0423636;Cardiac pain;sosy
C0423637;Sore nipple;sosy
C0423644;Central abdominal pain;sosy
C0423673;Pain in spine;sosy
C0423681;Pain in lumbar spine;sosy
C0423684;Thoracic back pain;sosy
C0423693;Growing pains;sosy
C0423703;Genitourinary pain;sosy
C0423727;High pain threshold;fndg
C0423729;Chest pain on breathing;sosy
C0423730;Painful cough;fndg
C0423738;Levator syndrome;dsyn
C0423742;Pain on intercourse;fndg
C0423745;Superficial pain on intercourse;fndg
C0423747;Deep pain on intercourse;fndg
C0423752;Finding of skin texture;fndg
C0423754;Poor skin condition;fndg
C0423755;Unhealthy skin;fndg
C0423757;Thin skin;fndg
C0423759;Hard skin;fndg
C0423761;Skin elasticity;fndg
C0423773;Scaly skin;sosy
C0423775;Scurfiness of scalp;dsyn
C0423781;Gottron's papules;fndg
C0423783;Acne scar;fndg
C0423786;Wickham striae;fndg
C0423791;Maculopapular eruption;fndg
C0423798;Increased tendency to bruise;fndg
C0423801;Growth of nails;fndg
C0423808;Brachyonychia;fndg
C0423818;Grooving of nail;sosy
C0423823;Thin nails;sosy
C0423827;White nails;fndg
C0423838;Hang nail;fndg
C0423867;Fine hair;fndg
C0423869;Exclamation mark hairs;sosy
C0423896;Feeling content;menp
C0423898;Intellectual ability;fndg
C0423899;Above average intellect;fndg
C0423900;Average intellect;fndg
C0423903;Low intelligence;fndg
C0423908;Difficulty making decisions;fndg
C0423909;Long-term memory;menp
C0423984;Persistent thoughts;fndg
C0423995;Puzzled;fndg
C0424000;Feeling suicidal (finding);fndg
C0424009;Fantasizing;mobd
C0424012;Suggestible;fndg
C0424013;Orientated;fndg
C0424068;Verbal auditory hallucinations;sosy
C0424078;Hallucinations in several modalities at once;fndg
C0424082;Hypnapompic hallucinations;mobd
C0424091;Loss of interest;fndg
C0424092;Withdrawn;fndg
C0424093;Initiative;menp
C0424094;Purposeless;fndg
C0424095;Social withdrawal;fndg
C0424099;Reduced concentration;fndg
C0424101;Inattention;mobd
C0424109;Weepiness;fndg
C0424117;Excessive energy;fndg
C0424134;Pessimism;menp
C0424139;Anxiety and fear;mobd
C0424142;Ill-at-ease;fndg
C0424166;Social fear;mobd
C0424169;Fear of public speaking;menp
C0424215;Sense of identity (observable entity);menp
C0424229;Frozen watchfulness;fndg
C0424230;Motor retardation;fndg
C0424235;Fidgeting;fndg
C0424236;Constant movement;fndg
C0424245;Automatic compliance;fndg
C0424285;Compulsive checking;fndg
C0424290;Compulsive hoarding;mobd
C0424295;Hyperactive behavior;mobd
C0424296;Social disinhibition;mobd
C0424304;Inappropriate laughter;fndg
C0424316;Exuberance;fndg
C0424318;Bullying;mobd
C0424320;Teasing;fndg
C0424322;Verbal aggression;fndg
C0424323;Physical aggression;fndg
C0424329;Outbursts of anger;fndg
C0424332;Breath holding with temper;mobd
C0424336;Delayed reaction time - finding;fndg
C0424337;Hoarding;fndg
C0424345;Shoplifting;mobd
C0424359;Self-neglect;fndg
C0424372;Biting own hand (finding);fndg
C0424373;Head-hitting;fndg
C0424375;Biting self;fndg
C0424400;Erotic interest;fndg
C0424403;Erotic feeling;fndg
C0424408;Public masturbation;fndg
C0424411;Making obscene telephone calls;mobd
C0424429;Greediness;fndg
C0424439;Oral habits;fndg
C0424444;Clenching teeth;fndg
C0424448;Masked facies;fndg
C0424466;Personal appearance dirty;fndg
C0424467;Hands dirty;fndg
C0424470;Undressed;fndg
C0424485;Lips full;fndg
C0424488;Lip line;fndg
C0424489;Chapping of lips;sosy
C0424503;Dysmorphic facies;fndg
C0424507;Hypothyroid facies;fndg
C0424511;Complexion;fndg
C0424522;Asleep;fndg
C0424523;Fully conscious;fndg
C0424530;Absences;fndg
C0424532;Semiconscious;fndg
C0424537;Absent minded;mobd
C0424538;Preoccupied;fndg
C0424543;Response to pain;fndg
C0424545;General physical finding;fndg
C0424547;Moribund (finding);fndg
C0424551;Impaired exercise tolerance;fndg
C0424557;Sweaty feet;fndg
C0424560;Bleeds easily;fndg
C0424561;Bleeds profusely;fndg
C0424563;Quality of sleep;fndg
C0424572;Oversleeps;sosy
C0424574;Duration of sleep;fndg
C0424575;General body state, NOS;fndg
C0424576;Fit and well;fndg
C0424578;Mental well-being;fndg
C0424581;Energy / stamina;fndg
C0424589;Vitality;fndg
C0424593;Attacks of weakness;fndg
C0424594;Frailty;fndg
C0424596;Illness: Cannot describe symptoms;fndg
C0424601;General development;fndg
C0424605;Developmental delay (disorder);mobd
C0424624;Cellulite;fndg
C0424629;Peripheral obesity;fndg
C0424630;Loss of body fat - finding;fndg
C0424631;Loss of subcutaneous fat;fndg
C0424639;Height / growth measure;fndg
C0424641;Decrease in height;fndg
C0424677;Total body fat;fndg
C0424679;Fat-free mass;fndg
C0424680;Skin-fold thickness (finding);fndg
C0424682;Circumference measure;fndg
C0424686;Head size;fndg
C0424688;Small head;fndg
C0424690;Asymmetrical skull;fndg
C0424697;Short skull;fndg
C0424698;Thick skull;fndg
C0424711;Orbital separation diminished;cgab
C0424719;Jaw size;fndg
C0424730;Finding of palmar crease;fndg
C0424731;Single transverse palmar crease;fndg
C0424740;Cold hands;fndg
C0424742;Warm extremities;fndg
C0424747;Temperature symptoms;fndg
C0424755;Fever symptoms (finding);fndg
C0424767;Continuous fever;fndg
C0424768;Prolonged fever;fndg
C0424773;Tertian fever;fndg
C0424775;Quartan fever;fndg
C0424781;Spiking temperature;fndg
C0424783;Irregular fever;fndg
C0424786;Postoperative fever;patf
C0424790;Rigor;sosy
C0424805;Breath symptom;sosy
C0424810;Swelling around eyes;sosy
C0424813;Orbital swelling;patf
C0424823;Parotid swelling;fndg
C0424829;Distention of blood vessel;fndg
C0424830;Dilated blood vessel;fndg
C0424842;Busacca nodules;fndg
C0424858;Single lump;fndg
C0424859;Multiple lumps;fndg
C0424860;Lump size;fndg
C0424861;Diameter of lump;fndg
C0424868;No problem chewing;dsyn
C0424919;Language spoken;fndg
C0424927;Details of education;fndg
C0424928;Literacy problems;fndg
C0424939;Learning difficulties;fndg
C0424945;Social and personal history;fndg
C0424960;Family problems;fndg
C0424968;Father smokes;fndg
C0425043;Death of relative;fndg
C0425087;Made redundant (finding);fndg
C0425092;Self-employed;fndg
C0425093;Dissatisfaction with employment;fndg
C0425101;Problems at work;fndg
C0425104;Shift worker;fndg
C0425114;Sedentary job;fndg
C0425119;Child at risk;fndg
C0425152;Engaged to be married;fndg
C0425168;Relationship problems (finding);fndg
C0425172;Unhappy childhood;fndg
C0425243;Vagrant;fndg
C0425245;Mobility, NOS;fndg
C0425251;Bed-ridden;fndg
C0425258;Mobility poor;sosy
C0425291;Tobacco smoking consumption;fndg
C0425293;Never smoked tobacco;fndg
C0425309;Passive smoker;fndg
C0425355;European origin;fndg
C0425356;African origin;fndg
C0425357;Asian origin;fndg
C0425358;North American origin (finding);fndg
C0425382;Adopted;fndg
C0425401;Dietary history;fndg
C0425410;Irregular meal times;fndg
C0425422;Dietary restriction NOS;fndg
C0425431;Dietary salt intake;fndg
C0425442;Respiratory system finding;fndg
C0425449;Gasping for breath;sosy
C0425452;No obstruction of airway;fndg
C0425464;Thoracic breathing;fndg
C0425465;Pursed-lip breathing;fndg
C0425466;Respiratory effort;fndg
C0425470;Intercostal chest wall retraction;fndg
C0425481;Sighing respiration;sosy
C0425485;Whooping respiration;sosy
C0425488;Rapid shallow breathing;fndg
C0425492;Irregular breathing;fndg
C0425542;Added respiratory sounds;fndg
C0425546;Bubbling crackles;fndg
C0425560;Cardiovascular finding;fndg
C0425571;Unequal pulse;fndg
C0425574;Bounding pulse;fndg
C0425575;Delayed pulse;fndg
C0425591;Dropped beats - heart;fndg
C0425619;Second heart sound split;fndg
C0425627;Systolic flow murmur;fndg
C0425643;Mid-systolic click;fndg
C0425656;Broken blood vessel;fndg
C0425658;Fragile blood vessel;fndg
C0425660;Prominent blood vessel;fndg
C0425661;Prominent veins;fndg
C0425683;Dilated capillaries;fndg
C0425687;Jugular venous engorgement;fndg
C0425700;Incompetent perforator;fndg
C0425702;Reticular varices;fndg
C0425710;Peripheral perfusion;fndg
C0425711;Bad circulation;fndg
C0425745;Waking erection;fndg
C0425756;Orgasm without ejaculation;patf
C0425772;Premature development of the breasts;fndg
C0425779;Breasts asymmetrical;fndg
C0425782;Breast size;fndg
C0425784;Pendulous breast;fndg
C0425785;Small breast;fndg
C0425809;Obstruction of milk ducts;patf
C0425885;Uterine cervix double;cgab
C0425891;Elongated cervix;fndg
C0425914;Uterus size;fndg
C0425934;Measure of duration of menstrual cycle;fndg
C0425945;Menostaxis;fndg
C0425946;Short menstrual periods;fndg
C0425963;Obstetric history;fndg
C0425965;Possible pregnancy (finding);fndg
C0425979;Nulliparous;fndg
C0426012;Height of uterine fundus;fndg
C0426030;Fetal finding;fndg
C0426038;Fetal heart sounds present;fndg
C0426045;Large fetus;fndg
C0426063;Transverse presentation;fndg
C0426103;Fetal head molding (finding);fndg
C0426164;Acromion presentation;fndg
C0426187;Failure of fetal head to enter pelvic brim;fndg
C0426199;Intact membranes;fndg
C0426209;Amniotic fluid -meconium stain;fndg
C0426237;Retroplacental clot;fndg
C0426252;Length of umbilical cord;fndg
C0426317;Genitourinary symptoms;sosy
C0426324;Testicles in scrotum;fndg
C0426331;Penis size;fndg
C0426332;Shape of penis;fndg
C0426342;Hooded foreskin;fndg
C0426345;Retraction of foreskin;fndg
C0426357;Urinary tract finding;fndg
C0426359;Urinary symptoms;sosy
C0426371;Unaware of passing urine;fndg
C0426373;Incomplete urination;sosy
C0426377;Infrequent urination;fndg
C0426389;Terminal dribbling of urine;fndg
C0426390;Bladder spasm;sosy
C0426396;Urine looks dark;sosy
C0426397;Contents of urine;fndg
C0426414;Small nose;fndg
C0426415;Large nose;fndg
C0426421;Wide nose;fndg
C0426429;Broad nasal tip;fndg
C0426472;Blocked sinuses;fndg
C0426482;No tooth problem;fndg
C0426484;Throat symptom;sosy
C0426487;Mouth symptoms;sosy
C0426491;Tongue size;fndg
C0426492;Small tongue;fndg
C0426517;Pigmentation of oral mucosa;fndg
C0426576;Gastrointestinal symptom;sosy
C0426579;Anorexia symptom;sosy
C0426584;Excessive appetite;fndg
C0426587;Altered appetite;fndg
C0426596;Increased fluid intake;fndg
C0426598;Insufficient fluid intake - finding;fndg
C0426599;Not taking fluids;fndg
C0426600;No problem swallowing;fndg
C0426622;Excessive flatus;fndg
C0426623;Excessive upper gastrointestinal gas;sosy
C0426636;Urgent desire for stool;sosy
C0426662;Lax abdominal wall;fndg
C0426682;Fluid thrill in abdomen;fndg
C0426686;Liver finding;fndg
C0426689;Liver edge;fndg
C0426703;Kidney finding;fndg
C0426732;Large prostate;fndg
C0426740;Consistency of stool;fndg
C0426763;Anal sphincter tone;fndg
C0426766;Weak anal sphincter;fndg
C0426785;Intermittent torticollis;sosy
C0426790;Narrow thorax;fndg
C0426791;Asymmetrical thorax;fndg
C0426811;Pseudoarthrosis of clavicle;fndg
C0426817;Short rib;fndg
C0426818;Thin rib;fndg
C0426826;Flared ribs;fndg
C0426848;Sacral dimples;fndg
C0426852;Small pelvic bone;fndg
C0426857;Short arm;fndg
C0426874;Trident hand;fndg
C0426884;Long thin fingers;fndg
C0426885;Spindling of finger;sosy
C0426886;Tapering fingers (finding);fndg
C0426891;Broad thumbs;fndg
C0426900;Tibial torsion;fndg
C0426908;Telescoping of limb at hip;sosy
C0426941;Pseudohypertrophy of muscle;dsyn
C0426952;Leg length;fndg
C0426961;Dystonic posture;fndg
C0426962;Frog-like posture;fndg
C0426970;Spastic quadriplegia;dsyn
C0426976;Poor posture;fndg
C0426980;Motor symptoms;sosy
C0426982;Motor function of tongue;fndg
C0427001;Gross movement of body and limbs;fndg
C0427008;Stiffness;sosy
C0427048;Movement of shoulder;fndg
C0427052;Finding of power of skeletal muscle;fndg
C0427053;Weakness present;fndg
C0427054;Weakness of neck;fndg
C0427055;Facial paresis;sosy
C0427063;Shoulder girdle weakness;fndg
C0427065;Distal muscle weakness;fndg
C0427068;Monoparesis - leg;fndg
C0427083;Control of movement;fndg
C0427085;Uneven movement;fndg
C0427086;Involuntary movement;sosy
C0427090;Writhing movements;fndg
C0427096;Patterning of movement;fndg
C0427105;Pusher syndrome;dsyn
C0427108;General unsteadiness;fndg
C0427140;Stiff legged gait;fndg
C0427143;Crouch gait;fndg
C0427144;Toe-walking gait;fndg
C0427149;Drop foot gait;sosy
C0427154;Tabetic gait;sosy
C0427160;Extrapyramidal gait;fndg
C0427165;Cautious gait;fndg
C0427168;Frontal ataxia;fndg
C0427170;Magnetic gait;fndg
C0427173;Parkinsonian ataxia;fndg
C0427184;No incoordination;fndg
C0427190;Truncal ataxia;sosy
C0427191;Bone finding;fndg
C0427194;Muscle finding;fndg
C0427195;Muscle tension;fndg
C0427198;Protective muscle spasm;fndg
C0427202;Muscular atony;sosy
C0427206;Muscle irritability;fndg
C0427244;Joint deformity;fndg
C0427257;Joint stability;fndg
C0427262;Unstable knee;fndg
C0427270;Patellar maltracking;fndg
C0427285;Clicking hip;sosy
C0427306;Symmetrical arthritis;fndg
C0427307;Asymmetrical arthritis;fndg
C0427353;Immunology finding;fndg
C0427354;Paraprotein measurement;lbpr
C0427357;Human leukocyte antigen type;lbtr
C0427373;Precipitating antibody measurement;lbpr
C0427385;Cell phenotype;lbpr
C0427391;Rheumatoid factor negative;lbtr
C0427407;Finding of vitamin B12 level;lbtr
C0427408;Serum vitamin B12 measurement;lbpr
C0427412;Folic acid level - finding;fndg
C0427417;Blood folate;lbpr
C0427418;Folic acid measurement, RBC;lbpr
C0427429;Serum iron normal;fndg
C0427433;Serum TIBC measurement;lbpr
C0427437;MCH - low;fndg
C0427455;RBC count normal;fndg
C0427457;RBC count low;fndg
C0427458;Red blood cell count raised;fndg
C0427460;Red cell distribution width determination;lbpr
C0427473;Dimorphic red blood cell population;fndg
C0427480;Elliptocytosis;fndg
C0427483;Bite cells;fndg
C0427488;Red blood cell size;lbtr
C0427492;Normochromic red blood cells;lbtr
C0427506;Red blood cell enzyme activity measurement;lbpr
C0427512;White blood cell number;lbtr
C0427516;Hypersegmentation;lbtr
C0427519;Doughnut cell;lbtr
C0427538;Immature white blood cells;lbtr
C0427544;Monocytopenia;fndg
C0427546;Abnormal lymphocytes;fndg
C0427548;Relative lymphocytosis;lbtr
C0427556;Adenosine deaminase level;lbpr
C0427624;Blood group AB;fndg
C0427625;Blood group O (finding);fndg
C0427629;Rh positive (finding);lbtr
C0427630;Rh negative (finding);fndg
C0427685;Plasma viscosity measurement;lbpr
C0427716;Protein concentration, test strip measurement;lbpr
C0427728;Blood concentration;lbtr
C0427734;Bilirubin concentration;lbpr
C0427736;Urobilinogen measurement, urine;lbpr
C0427743;Glucose concentration, test strip measurement;lbpr
C0427829;Amniotic fluid - clear (finding);lbtr
C0427836;Urine: looks clear;fndg
C0427850;Presence of cells;lbtr
C0427861;Human cells;lbtr
C0427888;Pus cells present;lbtr
C0427894;Urine microscopy: hyaline casts (finding);lbtr
C0427906;Calcium hydroxyapatite crystals;lbtr
C0427911;Oxalate crystals;lbtr
C0427944;Determination of bacterial growth;lbtr
C0427965;Antimicrobial susceptibility;fndg
C0427979;Presence of toxin;lbpr
C0427992;Semen volume measurement;lbpr
C0428093;Histopathology finding;lbtr
C0428094;Gross pathology;lbtr
C0428132;Biochemical finding;lbtr
C0428152;Urine levels NOS;lbpr
C0428177;Mixed venous oxygen saturation measurement;lbpr
C0428196;Bicarbonate level - finding;lbtr
C0428204;Finding of phenylalanine level;lbtr
C0428210;Methionine measurement;lbpr
C0428233;Serum paracetamol measurement;lbpr
C0428256;Blood lead level;lbpr
C0428257;Mercury measurement;lbpr
C0428275;Urea level - finding;lbtr
C0428278;Urine urea measurement;lbpr
C0428279;Finding of creatinine level;fndg
C0428284;Electrolyte levels - finding;lbtr
C0428289;Finding of potassium level;fndg
C0428291;Finding of sodium level;lbtr
C0428294;Finding of chloride level;lbtr
C0428301;Serum bicarbonate measurement;lbpr
C0428303;Calcium measurement, urine;lbpr
C0428305;Serum inorganic phosphate measurement;lbpr
C0428308;Magnesium measurement, urine;lbpr
C0428321;Measurement of liver enzyme;lbpr
C0428324;Alanine transaminase level;lbtr
C0428328;Amylase level;lbtr
C0428332;Alkaline phosphatase level - finding;lbtr
C0428339;Aspartate transaminase level;lbtr
C0428357;Serum insulin measurement;lbpr
C0428368;Male sex hormones NOS;lbpr
C0428372;Urine norepinephrine measurement;lbpr
C0428374;Metanephrines measurement, total, urine;lbpr
C0428386;Serum gastrin measurement;lbpr
C0428395;Aldosterone measurement, serum;lbpr
C0428399;Midnight cortisol measurement;lbpr
C0428401;Serum growth hormone measurement;lbpr
C0428402;Human chorionic gonadotropin measurement;lbpr
C0428408;Serum parathyroid hormone measurement;lbpr
C0428409;Progesterone level;lbtr
C0428413;Serum testosterone measurement;lbpr
C0428419;Triiodothyronine measurement;lbpr
C0428427;Porphyrin, quantitative measurement, urine;lbpr
C0428432;Porphobilinogen measurement, quantitative, urine;lbpr
C0428437;Blood ammonia measurement;lbpr
C0428441;Serum bilirubin measurement;lbpr
C0428445;D-lactate measurement;lbpr
C0428446;Serum lactate measurement;lbpr
C0428460;Finding of lipid level;lbtr
C0428462;Measurement of serum lipid level;lbpr
C0428465;Serum lipids high (finding);fndg
C0428466;Cholesterol level;lbtr
C0428472;Serum HDL cholesterol measurement;lbpr
C0428475;Triglyceride level - finding;lbtr
C0428478;Serum triglycerides raised;fndg
C0428479;Protein level - finding;lbtr
C0428480;Fluid sample total protein measurement;lbpr
C0428519;Albumin level - finding;lbtr
C0428521;Alpha-fetoprotein level - finding;lbtr
C0428531;Globulin level - finding;lbtr
C0428536;Immunoglobulin level - finding;lbtr
C0428545;Serum transferrin measurement;lbpr
C0428548;Glucose level - finding;lbtr
C0428554;Finding of blood glucose level;lbtr
C0428568;Fasting blood glucose measurement;lbpr
C0428580;Vitamin measurement;lbpr
C0428581;Serum vitamin A measurement;lbpr
C0428597;Basal gastric acid secretion;fndg
C0428601;Measurement of fractional excretion of sodium;lbpr
C0428606;Osmolal gap measurement;lbpr
